id,db_created_time,session_created_time,user_id,session_type
67,2024-05-01 07:37:12.353179+00,1714549031651,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
68,2024-05-01 08:08:25.450018+00,1714549031651,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
69,2024-05-01 08:08:41.899909+00,1714550921138,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
70,2024-05-01 10:59:10.349274+00,1714550921138,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
71,2024-05-01 13:18:31.764204+00,1714569509564,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
72,2024-05-01 13:22:44.557889+00,1714569763504,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
73,2024-05-01 19:10:54.918931+00,1714590652252,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
74,2024-05-01 19:19:09.192361+00,1714590652252,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
75,2024-05-01 19:29:17.209573+00,1714591753724,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
76,2024-05-01 19:41:32.200467+00,1714592490447,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
77,2024-05-01 19:46:28.267573+00,1714592490447,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,ended
78,2024-05-01 19:50:36.752006+00,1714593035835,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
79,2024-05-01 20:12:05.91464+00,1714594323177,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
80,2024-05-01 20:24:52.326375+00,1714594323177,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
81,2024-05-01 20:25:03.108358+00,1714595102339,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
82,2024-05-01 20:34:07.287951+00,1714540054299,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
83,2024-05-01 20:34:16.349256+00,1714595653622,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
84,2024-05-02 05:34:43.575871+00,1714595653622,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
85,2024-05-02 06:51:44.281678+00,1714591753724,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
86,2024-05-02 06:52:26.148358+00,1714632745256,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
87,2024-05-02 06:54:53.324499+00,1714632745256,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
88,2024-05-02 07:15:04.360476+00,1714634102428,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
89,2024-05-02 09:05:37.976371+00,1714634102428,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
90,2024-05-02 09:28:45.6097+00,1714642123037,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
91,2024-05-02 09:37:21.246245+00,1714642638833,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
