id,created_at,user_id,path,scroll_depth
292,2024-04-29 14:12:36.114776+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/economy/a6fed0c1-533c-4e14-b4d7-e007d800fd80/us-economy-resilience-questions-fed-rate-cuts?,81.01571946795647
293,2024-04-29 14:18:39.081056+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/home?,80.52805280528052
294,2024-04-29 14:18:46.328395+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/home?,80.52805280528052
295,2024-04-29 14:18:56.094697+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/home?,80.96809680968097
296,2024-04-29 14:19:22.050584+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/home?,81.07810781078108
297,2024-04-29 14:20:03.316596+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/home?,81.22270742358079
298,2024-04-29 14:22:52.602898+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/home?,82.75109170305677
299,2024-04-29 14:23:11.636893+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/home?,81.00436681222706
300,2024-04-29 14:23:30.143765+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/home?,80.27656477438137
301,2024-04-29 14:25:25.693558+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/home?,82.94829482948295
302,2024-04-29 14:25:32.143074+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/home?,98.42105263157895
303,2024-04-29 14:25:36.476386+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/home?,99.06600249066003
304,2024-04-29 14:25:39.664544+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/home?,82.5378787878788
305,2024-04-29 14:25:45.759528+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/home?,98.63325740318906
306,2024-04-29 14:25:55.481978+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/home?,100.03927729772191
307,2024-04-29 14:40:51.209127+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/home?,99.93796526054591
308,2024-04-29 15:30:59.932898+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/home?,80.58035714285714
309,2024-04-29 15:35:42.578445+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/home?,81.57248157248156
310,2024-04-29 15:49:09.397547+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/economy/84909186-fd60-47e5-8996-3d099a23a632/us-economy-resilience-questions-fed-rate-cuts?,81.93548387096774
311,2024-04-29 15:50:02.96214+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/economy/84909186-fd60-47e5-8996-3d099a23a632/us-economy-resilience-questions-fed-rate-cuts?,82.30414746543778
312,2024-04-29 16:14:21.193141+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,/settings?,89.02195608782435
313,2024-04-29 16:28:26.232765+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/economy/2056798a-0be2-4d4b-bb61-29169aefe8c5/us-economy-resilience-questions-fed-rate-cuts?,80.47385620915033
314,2024-04-29 16:32:40.547913+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/economy/2056798a-0be2-4d4b-bb61-29169aefe8c5/us-economy-resilience-questions-fed-rate-cuts?,81.4993954050786
315,2024-04-29 16:37:57.027837+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/home?,80.85808580858085
316,2024-04-29 16:38:02.024647+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/home?,82.06820682068206
317,2024-04-29 16:38:57.444122+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/home?,80.08800880088009
318,2024-04-29 16:43:22.464069+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/home?,80.41804180418042
319,2024-04-29 16:48:20.857146+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,/economy/fd88b8e9-3b3c-4e8d-bd9e-fed3217b8185/us-economy-resilience-questions-fed-rate-cuts?,80.29020556227327
