id,created_at,user_id,slant,complexity,entertainment,sentiment
269,2024-05-02 18:18:24.700723+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
270,2024-05-02 18:34:24.975421+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
271,2024-05-02 18:34:29.913048+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
272,2024-05-02 18:34:37.764937+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
273,2024-05-02 18:35:31.937261+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
274,2024-05-02 18:36:02.395449+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
275,2024-05-02 18:36:24.495016+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
276,2024-05-02 18:36:26.815718+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
277,2024-05-02 18:37:22.510004+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
278,2024-05-02 18:55:26.026283+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
279,2024-05-02 19:49:08.086569+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
280,2024-05-02 19:50:04.624889+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
281,2024-05-02 19:53:23.506262+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
282,2024-05-02 19:55:17.836618+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
283,2024-05-02 20:16:41.548957+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
284,2024-05-02 22:48:39.961981+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,50,0,0,0
285,2024-05-03 03:45:03.02907+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
286,2024-05-03 03:46:29.759977+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
287,2024-05-03 04:04:40.376898+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,100,0,0
288,2024-05-03 04:05:00.189779+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
289,2024-05-03 04:58:12.62236+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,100,0,0
290,2024-05-03 04:59:35.62618+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,100
291,2024-05-03 06:45:21.107622+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,0
292,2024-05-03 06:45:56.063655+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,100,0,0,0
293,2024-05-03 06:55:37.456458+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,100,0,0
294,2024-05-03 07:08:33.893737+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,100,0,0,0
295,2024-05-03 07:08:44.777683+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,0,0,0,0
296,2024-05-03 07:09:40.673837+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,100
297,2024-05-03 07:09:48.080819+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,100,0
298,2024-05-03 07:32:13.122351+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,100,0
299,2024-05-03 09:41:34.980994+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
300,2024-05-03 10:37:51.108984+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
301,2024-05-03 10:47:40.210369+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
302,2024-05-03 11:00:09.011964+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
303,2024-05-03 11:00:20.147812+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,0,0,0,0
304,2024-05-03 11:13:27.277584+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
305,2024-05-03 12:28:16.37168+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,100,0
306,2024-05-03 12:28:26.682877+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,0
